t,x,u_num,u_exact
0.000000,0.000000,0.0000000000,0.0000000000
0.000000,0.010101,0.0317279335,0.0317279335
0.000000,0.020202,0.0634239197,0.0634239197
0.000000,0.030303,0.0950560433,0.0950560433
0.000000,0.040404,0.1265924536,0.1265924536
0.000000,0.050505,0.1580013960,0.1580013960
0.000000,0.060606,0.1892512444,0.1892512444
0.000000,0.070707,0.2203105328,0.2203105328
0.000000,0.080808,0.2511479872,0.2511479872
0.000000,0.090909,0.2817325568,0.2817325568
0.000000,0.101010,0.3120334457,0.3120334457
0.000000,0.111111,0.3420201433,0.3420201433
0.000000,0.121212,0.3716624557,0.3716624557
0.000000,0.131313,0.4009305354,0.4009305354
0.000000,0.141414,0.4297949121,0.4297949121
0.000000,0.151515,0.4582265217,0.4582265217
0.000000,0.161616,0.4861967361,0.4861967361
0.000000,0.171717,0.5136773916,0.5136773916
0.000000,0.181818,0.5406408175,0.5406408175
0.000000,0.191919,0.5670598639,0.5670598639
0.000000,0.202020,0.5929079291,0.5929079291
0.000000,0.212121,0.6181589862,0.6181589862
0.000000,0.222222,0.6427876097,0.6427876097
0.000000,0.232323,0.6667690005,0.6667690005
0.000000,0.242424,0.6900790115,0.6900790115
0.000000,0.252525,0.7126941714,0.7126941714
0.000000,0.262626,0.7345917087,0.7345917087
0.000000,0.272727,0.7557495744,0.7557495744
0.000000,0.282828,0.7761464643,0.7761464643
0.000000,0.292929,0.7957618405,0.7957618405
0.000000,0.303030,0.8145759521,0.8145759521
0.000000,0.313131,0.8325698546,0.8325698546
0.000000,0.323232,0.8497254299,0.8497254299
0.000000,0.333333,0.8660254038,0.8660254038
0.000000,0.343434,0.8814533634,0.8814533634
0.000000,0.353535,0.8959937743,0.8959937743
0.000000,0.363636,0.9096319954,0.9096319954
0.000000,0.373737,0.9223542941,0.9223542941
0.000000,0.383838,0.9341478603,0.9341478603
0.000000,0.393939,0.9450008187,0.9450008187
0.000000,0.404040,0.9549022414,0.9549022414
0.000000,0.414141,0.9638421586,0.9638421586
0.000000,0.424242,0.9718115683,0.9718115683
0.000000,0.434343,0.9788024462,0.9788024462
0.000000,0.444444,0.9848077530,0.9848077530
0.000000,0.454545,0.9898214419,0.9898214419
0.000000,0.464646,0.9938384645,0.9938384645
0.000000,0.474747,0.9968547760,0.9968547760
0.000000,0.484848,0.9988673392,0.9988673392
0.000000,0.494949,0.9998741277,0.9998741277
0.000000,0.505051,0.9998741277,0.9998741277
0.000000,0.515152,0.9988673392,0.9988673392
0.000000,0.525253,0.9968547760,0.9968547760
0.000000,0.535354,0.9938384645,0.9938384645
0.000000,0.545455,0.9898214419,0.9898214419
0.000000,0.555556,0.9848077530,0.9848077530
0.000000,0.565657,0.9788024462,0.9788024462
0.000000,0.575758,0.9718115683,0.9718115683
0.000000,0.585859,0.9638421586,0.9638421586
0.000000,0.595960,0.9549022414,0.9549022414
0.000000,0.606061,0.9450008187,0.9450008187
0.000000,0.616162,0.9341478603,0.9341478603
0.000000,0.626263,0.9223542941,0.9223542941
0.000000,0.636364,0.9096319954,0.9096319954
0.000000,0.646465,0.8959937743,0.8959937743
0.000000,0.656566,0.8814533634,0.8814533634
0.000000,0.666667,0.8660254038,0.8660254038
0.000000,0.676768,0.8497254299,0.8497254299
0.000000,0.686869,0.8325698546,0.8325698546
0.000000,0.696970,0.8145759521,0.8145759521
0.000000,0.707071,0.7957618405,0.7957618405
0.000000,0.717172,0.7761464643,0.7761464643
0.000000,0.727273,0.7557495744,0.7557495744
0.000000,0.737374,0.7345917087,0.7345917087
0.000000,0.747475,0.7126941714,0.7126941714
0.000000,0.757576,0.6900790115,0.6900790115
0.000000,0.767677,0.6667690005,0.6667690005
0.000000,0.777778,0.6427876097,0.6427876097
0.000000,0.787879,0.6181589862,0.6181589862
0.000000,0.797980,0.5929079291,0.5929079291
0.000000,0.808081,0.5670598639,0.5670598639
0.000000,0.818182,0.5406408175,0.5406408175
0.000000,0.828283,0.5136773916,0.5136773916
0.000000,0.838384,0.4861967361,0.4861967361
0.000000,0.848485,0.4582265217,0.4582265217
0.000000,0.858586,0.4297949121,0.4297949121
0.000000,0.868687,0.4009305354,0.4009305354
0.000000,0.878788,0.3716624557,0.3716624557
0.000000,0.888889,0.3420201433,0.3420201433
0.000000,0.898990,0.3120334457,0.3120334457
0.000000,0.909091,0.2817325568,0.2817325568
0.000000,0.919192,0.2511479872,0.2511479872
0.000000,0.929293,0.2203105328,0.2203105328
0.000000,0.939394,0.1892512444,0.1892512444
0.000000,0.949495,0.1580013960,0.1580013960
0.000000,0.959596,0.1265924536,0.1265924536
0.000000,0.969697,0.0950560433,0.0950560433
0.000000,0.979798,0.0634239197,0.0634239197
0.000000,0.989899,0.0317279335,0.0317279335
0.000000,1.000000,0.0000000000,0.0000000000
0.000200,0.000000,0.0000000000,0.0000000000
0.000200,0.010101,0.0317273073,0.0317273072
0.000200,0.020202,0.0634226678,0.0634226677
0.000200,0.030303,0.0950541671,0.0950541670
0.000200,0.040404,0.1265899549,0.1265899548
0.000200,0.050505,0.1579982774,0.1579982772
0.000200,0.060606,0.1892475090,0.1892475087
0.000200,0.070707,0.2203061844,0.2203061841
0.000200,0.080808,0.2511430301,0.2511430298
0.000200,0.090909,0.2817269961,0.2817269957
0.000200,0.101010,0.3120272869,0.3120272865
0.000200,0.111111,0.3420133927,0.3420133922
0.000200,0.121212,0.3716551200,0.3716551194
0.000200,0.131313,0.4009226220,0.4009226214
0.000200,0.141414,0.4297864290,0.4297864284
0.000200,0.151515,0.4582174775,0.4582174768
0.000200,0.161616,0.4861871398,0.4861871391
0.000200,0.171717,0.5136672528,0.5136672521
0.000200,0.181818,0.5406301465,0.5406301457
0.000200,0.191919,0.5670486715,0.5670486707
0.000200,0.202020,0.5928962265,0.5928962256
0.000200,0.212121,0.6181467853,0.6181467844
0.000200,0.222222,0.6427749226,0.6427749217
0.000200,0.232323,0.6667558401,0.6667558392
0.000200,0.242424,0.6900653910,0.6900653900
0.000200,0.252525,0.7126801045,0.7126801035
0.000200,0.262626,0.7345772096,0.7345772085
0.000200,0.272727,0.7557346577,0.7557346566
0.000200,0.282828,0.7761311451,0.7761311439
0.000200,0.292929,0.7957461341,0.7957461330
0.000200,0.303030,0.8145598743,0.8145598731
0.000200,0.313131,0.8325534217,0.8325534205
0.000200,0.323232,0.8497086584,0.8497086572
0.000200,0.333333,0.8660083106,0.8660083093
0.000200,0.343434,0.8814359657,0.8814359644
0.000200,0.353535,0.8959760896,0.8959760883
0.000200,0.363636,0.9096140414,0.9096140401
0.000200,0.373737,0.9223360891,0.9223360877
0.000200,0.383838,0.9341294225,0.9341294211
0.000200,0.393939,0.9449821667,0.9449821653
0.000200,0.404040,0.9548833940,0.9548833926
0.000200,0.414141,0.9638231347,0.9638231333
0.000200,0.424242,0.9717923871,0.9717923857
0.000200,0.434343,0.9787831271,0.9787831256
0.000200,0.444444,0.9847883153,0.9847883139
0.000200,0.454545,0.9898019052,0.9898019038
0.000200,0.464646,0.9938188485,0.9938188471
0.000200,0.474747,0.9968351005,0.9968350990
0.000200,0.484848,0.9988476240,0.9988476225
0.000200,0.494949,0.9998543926,0.9998543911
0.000200,0.505051,0.9998543926,0.9998543911
0.000200,0.515152,0.9988476240,0.9988476225
0.000200,0.525253,0.9968351005,0.9968350990
0.000200,0.535354,0.9938188485,0.9938188471
0.000200,0.545455,0.9898019052,0.9898019038
0.000200,0.555556,0.9847883153,0.9847883139
0.000200,0.565657,0.9787831271,0.9787831256
0.000200,0.575758,0.9717923871,0.9717923857
0.000200,0.585859,0.9638231347,0.9638231333
0.000200,0.595960,0.9548833940,0.9548833926
0.000200,0.606061,0.9449821667,0.9449821653
0.000200,0.616162,0.9341294225,0.9341294211
0.000200,0.626263,0.9223360891,0.9223360877
0.000200,0.636364,0.9096140414,0.9096140401
0.000200,0.646465,0.8959760896,0.8959760883
0.000200,0.656566,0.8814359657,0.8814359644
0.000200,0.666667,0.8660083106,0.8660083093
